index,source,input,answer,CHANGE_VARIABLE_IN_CONDITION,CHANGE_VARIABLE_IN_CONDITION2,CHANGE_VARIABLE_IN_LOOP,CHANGE_VARIABLE_IN_LOOP2,CHANGE_VARIABLE_IN_SIMPLE_LOOP,NEGLECT_FOR_LOOP,REGARD_AS_ARRAY,type
1,a1_3.txt,3,-3,-,-,-,-,-,-,-
2,a1_4.txt,4,4,-,-,-,-,-,-,-
3,a2_3.txt,3,3,-,-,-,-,-,-,-
4,a2_4.txt,4,-4,-,-,-,-,-,-,-
5,a3_3.txt,3,9,-,-,6,-,6,3,"[1, 2, 3]"
6,a3_4.txt,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]"
7,a4_3.txt,3,6,-,-,-,9,-,-,"[1, 2, 3]"
8,a4_4.txt,4,10,-,-,-,16,-,-,"[1, 2, 3, 4]"
9,a5_3.txt,3,-9,-,-,-6,-,-,-3,"[-1, -2, -3]"
10,a5_4.txt,4,16,-8,-,-2,-,-,4,"[-1, -2, -3, 4]"
11,a6_3.txt,3,9,-3,-,0,-,-,3,"[-1, -2, 3]"
12,a6_4.txt,4,-16,-8,-,-4,-,-,-4,"[-1, -2, 3, -4]"
13,a7_3.txt,3,-6,-,-,-,-9,-,-,"[-1, -2, -3]"
14,a7_4.txt,4,-2,-,10,-,16,-,-,"[-1, -2, -3, 4]"
15,a8_3.txt,3,0,-,6,-,9,-,-,-
16,a8_4.txt,4,-4,-,-10,-,-16,-,-,"[-1, -2, 3, -4]"
17,a9_3.txt,3,-3,-,-,-,-,-,-,-
18,a9_4.txt,4,16,-,-,10,-,10,4,"[1, 2, 3, 4]"
19,a10_3.txt,3,3,-,-,-,-,-,-,-
20,a10_4.txt,4,-16,-,-,-10,-,-10,-4,"[-1, -2, -3, -4]"
